"","YEAR_CLOSED","MONTH_CLOSED","closed","open","year_month"
"1","2015","12",42,199,"2015-12"
"2","2016","01",280,376,"2016-01"
"3","2016","02",355,476,"2016-02"
"4","2016","03",360,417,"2016-03"
"5","2016","04",295,414,"2016-04"
"6","2016","05",338,451,"2016-05"
"7","2016","06",237,265,"2016-06"
