"","YEAR_CLOSED","MONTH_CLOSED","year_month","case_type","cases"
"154","2016","04","2016-04","closed",295
"155","2016","05","2016-05","closed",338
"156","2016","06","2016-06","closed",237
"157","1993","03","1993-03","open",1
"158","1996","06","1996-06","open",1
"159","1997","03","1997-03","open",1
"160","1997","05","1997-05","open",1
"161","1997","06","1997-06","open",3
"162","1998","06","1998-06","open",1
"163","1999","04","1999-04","open",1
"164","1999","08","1999-08","open",1
"165","2000","01","2000-01","open",1
"166","2001","03","2001-03","open",1
"167","2001","08","2001-08","open",1
"168","2001","10","2001-10","open",3
"169","2002","03","2002-03","open",1
"170","2002","04","2002-04","open",1
"171","2002","06","2002-06","open",1
"172","2003","05","2003-05","open",1
"173","2003","07","2003-07","open",1
"174","2003","08","2003-08","open",2
"175","2003","10","2003-10","open",1
"176","2004","01","2004-01","open",1
"177","2004","08","2004-08","open",2
"178","2004","09","2004-09","open",1
"179","2004","10","2004-10","open",1
"180","2004","12","2004-12","open",1
"181","2005","01","2005-01","open",1
"182","2005","03","2005-03","open",3
"183","2005","06","2005-06","open",1
"184","2005","07","2005-07","open",3
"185","2005","08","2005-08","open",2
"186","2005","09","2005-09","open",1
"187","2005","10","2005-10","open",2
"188","2005","11","2005-11","open",1
"189","2005","12","2005-12","open",2
"190","2006","02","2006-02","open",2
"191","2006","04","2006-04","open",3
"192","2006","06","2006-06","open",4
"193","2006","07","2006-07","open",1
"194","2006","08","2006-08","open",2
"195","2006","09","2006-09","open",3
"196","2006","10","2006-10","open",3
"197","2006","11","2006-11","open",14
"198","2006","12","2006-12","open",2
"199","2007","01","2007-01","open",26
"200","2007","02","2007-02","open",2
"201","2007","03","2007-03","open",2
"202","2007","04","2007-04","open",5
"203","2007","05","2007-05","open",8
"204","2007","06","2007-06","open",4
"205","2007","07","2007-07","open",2
"206","2007","08","2007-08","open",2
"207","2007","09","2007-09","open",5
"208","2007","10","2007-10","open",4
"209","2007","11","2007-11","open",3
"210","2007","12","2007-12","open",4
"211","2008","01","2008-01","open",3
"212","2008","02","2008-02","open",3
"213","2008","03","2008-03","open",7
"214","2008","04","2008-04","open",5
"215","2008","05","2008-05","open",3
"216","2008","06","2008-06","open",5
"217","2008","07","2008-07","open",4
"218","2008","08","2008-08","open",6
"219","2008","09","2008-09","open",5
"220","2008","10","2008-10","open",12
"221","2008","11","2008-11","open",11
"222","2008","12","2008-12","open",11
"223","2009","01","2009-01","open",6
"224","2009","02","2009-02","open",5
"225","2009","03","2009-03","open",8
"226","2009","04","2009-04","open",12
"227","2009","05","2009-05","open",3
"228","2009","06","2009-06","open",6
"229","2009","07","2009-07","open",10
"230","2009","08","2009-08","open",8
"231","2009","09","2009-09","open",9
"232","2009","10","2009-10","open",17
"233","2009","11","2009-11","open",10
"234","2009","12","2009-12","open",6
"235","2010","01","2010-01","open",8
"236","2010","02","2010-02","open",14
"237","2010","03","2010-03","open",8
"238","2010","04","2010-04","open",20
"239","2010","05","2010-05","open",34
"240","2010","06","2010-06","open",23
"241","2010","07","2010-07","open",8
"242","2010","08","2010-08","open",12
"243","2010","09","2010-09","open",26
"244","2010","10","2010-10","open",17
"245","2010","11","2010-11","open",17
"246","2010","12","2010-12","open",8
"247","2011","01","2011-01","open",15
"248","2011","02","2011-02","open",12
"249","2011","03","2011-03","open",26
"250","2011","04","2011-04","open",15
"251","2011","05","2011-05","open",17
"252","2011","06","2011-06","open",15
"253","2011","07","2011-07","open",22
"254","2011","08","2011-08","open",38
"255","2011","09","2011-09","open",17
"256","2011","10","2011-10","open",28
"257","2011","11","2011-11","open",30
"258","2011","12","2011-12","open",21
"259","2012","01","2012-01","open",16
"260","2012","02","2012-02","open",28
"261","2012","03","2012-03","open",23
"262","2012","04","2012-04","open",36
"263","2012","05","2012-05","open",34
"264","2012","06","2012-06","open",43
"265","2012","07","2012-07","open",28
"266","2012","08","2012-08","open",46
"267","2012","09","2012-09","open",39
"268","2012","10","2012-10","open",63
"269","2012","11","2012-11","open",50
"270","2012","12","2012-12","open",49
"271","2013","01","2013-01","open",60
"272","2013","02","2013-02","open",109
"273","2013","03","2013-03","open",148
"274","2013","04","2013-04","open",252
"275","2013","05","2013-05","open",225
"276","2013","06","2013-06","open",315
"277","2013","07","2013-07","open",556
"278","2013","08","2013-08","open",520
"279","2013","09","2013-09","open",559
"280","2013","10","2013-10","open",539
"281","2013","11","2013-11","open",547
"282","2013","12","2013-12","open",417
"283","2014","01","2014-01","open",467
"284","2014","02","2014-02","open",386
"285","2014","03","2014-03","open",410
"286","2014","04","2014-04","open",561
"287","2014","05","2014-05","open",502
"288","2014","06","2014-06","open",627
"289","2014","07","2014-07","open",643
"290","2014","08","2014-08","open",541
"291","2014","09","2014-09","open",459
"292","2014","10","2014-10","open",558
"293","2014","11","2014-11","open",346
"294","2014","12","2014-12","open",397
"295","2015","01","2015-01","open",445
"296","2015","02","2015-02","open",528
"297","2015","03","2015-03","open",498
"298","2015","04","2015-04","open",532
"299","2015","05","2015-05","open",519
"300","2015","06","2015-06","open",625
"301","2015","07","2015-07","open",529
"302","2015","08","2015-08","open",503
"303","2015","09","2015-09","open",452
"304","2015","10","2015-10","open",415
"305","2015","11","2015-11","open",353
"306","2015","12","2015-12","open",220
"307","2016","01","2016-01","open",376
"308","2016","02","2016-02","open",476
"309","2016","03","2016-03","open",417
"310","2016","04","2016-04","open",414
"311","2016","05","2016-05","open",451
"312","2016","06","2016-06","open",265
"313","1993","03","1993-03","backlog",1
"314","1996","06","1996-06","backlog",2
"315","1997","03","1997-03","backlog",3
"316","1997","05","1997-05","backlog",4
"317","1997","06","1997-06","backlog",7
"318","1998","06","1998-06","backlog",8
"319","1999","04","1999-04","backlog",9
"320","1999","08","1999-08","backlog",10
"321","2000","01","2000-01","backlog",11
"322","2001","03","2001-03","backlog",12
"323","2001","08","2001-08","backlog",13
"324","2001","10","2001-10","backlog",16
"325","2002","03","2002-03","backlog",17
"326","2002","04","2002-04","backlog",18
"327","2002","06","2002-06","backlog",19
"328","2003","05","2003-05","backlog",20
"329","2003","07","2003-07","backlog",21
"330","2003","08","2003-08","backlog",23
"331","2003","10","2003-10","backlog",24
"332","2004","01","2004-01","backlog",25
"333","2004","08","2004-08","backlog",27
"334","2004","09","2004-09","backlog",28
"335","2004","10","2004-10","backlog",29
"336","2004","12","2004-12","backlog",30
"337","2005","01","2005-01","backlog",31
"338","2005","03","2005-03","backlog",34
"339","2005","06","2005-06","backlog",35
"340","2005","07","2005-07","backlog",38
"341","2005","08","2005-08","backlog",40
"342","2005","09","2005-09","backlog",41
"343","2005","10","2005-10","backlog",43
"344","2005","11","2005-11","backlog",44
"345","2005","12","2005-12","backlog",46
"346","2006","02","2006-02","backlog",48
"347","2006","04","2006-04","backlog",51
"348","2006","06","2006-06","backlog",55
"349","2006","07","2006-07","backlog",56
"350","2006","08","2006-08","backlog",58
"351","2006","09","2006-09","backlog",61
"352","2006","10","2006-10","backlog",64
"353","2006","11","2006-11","backlog",78
"354","2006","12","2006-12","backlog",80
"355","2007","01","2007-01","backlog",106
"356","2007","02","2007-02","backlog",108
"357","2007","03","2007-03","backlog",110
"358","2007","04","2007-04","backlog",115
"359","2007","05","2007-05","backlog",123
"360","2007","06","2007-06","backlog",127
"361","2007","07","2007-07","backlog",129
"362","2007","08","2007-08","backlog",131
"363","2007","09","2007-09","backlog",136
"364","2007","10","2007-10","backlog",140
"365","2007","11","2007-11","backlog",143
"366","2007","12","2007-12","backlog",147
"367","2008","01","2008-01","backlog",150
"368","2008","02","2008-02","backlog",153
"369","2008","03","2008-03","backlog",160
"370","2008","04","2008-04","backlog",165
"371","2008","05","2008-05","backlog",168
"372","2008","06","2008-06","backlog",173
"373","2008","07","2008-07","backlog",177
"374","2008","08","2008-08","backlog",183
"375","2008","09","2008-09","backlog",188
"376","2008","10","2008-10","backlog",200
"377","2008","11","2008-11","backlog",211
"378","2008","12","2008-12","backlog",222
"379","2009","01","2009-01","backlog",228
"380","2009","02","2009-02","backlog",233
"381","2009","03","2009-03","backlog",241
"382","2009","04","2009-04","backlog",253
"383","2009","05","2009-05","backlog",256
"384","2009","06","2009-06","backlog",262
"385","2009","07","2009-07","backlog",272
"386","2009","08","2009-08","backlog",280
"387","2009","09","2009-09","backlog",289
"388","2009","10","2009-10","backlog",306
"389","2009","11","2009-11","backlog",316
"390","2009","12","2009-12","backlog",322
"391","2010","01","2010-01","backlog",330
"392","2010","02","2010-02","backlog",344
"393","2010","03","2010-03","backlog",352
"394","2010","04","2010-04","backlog",372
"395","2010","05","2010-05","backlog",406
"396","2010","06","2010-06","backlog",429
"397","2010","07","2010-07","backlog",437
"398","2010","08","2010-08","backlog",449
"399","2010","09","2010-09","backlog",475
"400","2010","10","2010-10","backlog",492
"401","2010","11","2010-11","backlog",509
"402","2010","12","2010-12","backlog",517
"403","2011","01","2011-01","backlog",532
"404","2011","02","2011-02","backlog",544
"405","2011","03","2011-03","backlog",570
"406","2011","04","2011-04","backlog",585
"407","2011","05","2011-05","backlog",602
"408","2011","06","2011-06","backlog",617
"409","2011","07","2011-07","backlog",639
"410","2011","08","2011-08","backlog",677
"411","2011","09","2011-09","backlog",694
"412","2011","10","2011-10","backlog",722
"413","2011","11","2011-11","backlog",752
"414","2011","12","2011-12","backlog",773
"415","2012","01","2012-01","backlog",789
"416","2012","02","2012-02","backlog",817
"417","2012","03","2012-03","backlog",840
"418","2012","04","2012-04","backlog",876
"419","2012","05","2012-05","backlog",910
"420","2012","06","2012-06","backlog",953
"421","2012","07","2012-07","backlog",981
"422","2012","08","2012-08","backlog",1027
"423","2012","09","2012-09","backlog",1066
"424","2012","10","2012-10","backlog",1129
"425","2012","11","2012-11","backlog",1179
"426","2012","12","2012-12","backlog",1228
"427","2013","01","2013-01","backlog",1288
"428","2013","02","2013-02","backlog",1397
"429","2013","03","2013-03","backlog",1545
"430","2013","04","2013-04","backlog",1797
"431","2013","05","2013-05","backlog",2022
"432","2013","06","2013-06","backlog",2337
"433","2013","07","2013-07","backlog",2454
"434","2013","08","2013-08","backlog",2548
"435","2013","09","2013-09","backlog",2649
"436","2013","10","2013-10","backlog",2639
"437","2013","11","2013-11","backlog",2678
"438","2013","12","2013-12","backlog",2667
"439","2014","01","2014-01","backlog",2674
"440","2014","02","2014-02","backlog",2639
"441","2014","03","2014-03","backlog",2569
"442","2014","04","2014-04","backlog",2567
"443","2014","05","2014-05","backlog",2651
"444","2014","06","2014-06","backlog",2938
"445","2014","07","2014-07","backlog",2995
"446","2014","08","2014-08","backlog",2904
"447","2014","09","2014-09","backlog",2818
"448","2014","10","2014-10","backlog",2830
"449","2014","11","2014-11","backlog",2682
"450","2014","12","2014-12","backlog",2751
"451","2015","01","2015-01","backlog",2681
"452","2015","02","2015-02","backlog",2651
"453","2015","03","2015-03","backlog",2635
"454","2015","04","2015-04","backlog",2660
"455","2015","05","2015-05","backlog",2755
"456","2015","06","2015-06","backlog",2802
"457","2015","07","2015-07","backlog",2675
"458","2015","08","2015-08","backlog",2815
"459","2015","09","2015-09","backlog",2899
"460","2015","10","2015-10","backlog",2952
"461","2015","11","2015-11","backlog",2962
"462","2015","12","2015-12","backlog",2906
"463","2016","01","2016-01","backlog",3002
"464","2016","02","2016-02","backlog",3123
"465","2016","03","2016-03","backlog",3180
"466","2016","04","2016-04","backlog",3299
"467","2016","05","2016-05","backlog",3412
"468","2016","06","2016-06","backlog",3440
